Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 8400:, hard_loss_metric=0.39036405, full_loss_metric=0.18595001, full_loss_num=11447.93164062, mean_dist=2.18904853, lr=0.000100, hard or full='full'
iter 8500:, hard_loss_metric=0.39448979, full_loss_metric=0.18543297, full_loss_num=11827.68261719, mean_dist=2.14300704, lr=0.000100, hard or full='full'
iter 8600:, hard_loss_metric=0.38640240, full_loss_metric=0.18531920, full_loss_num=11460.99511719, mean_dist=2.17705154, lr=0.000100, hard or full='full'
iter 8700:, hard_loss_metric=0.40318078, full_loss_metric=0.19033614, full_loss_num=12424.53710938, mean_dist=2.17468381, lr=0.000100, hard or full='full'
iter 8800:, hard_loss_metric=0.38871273, full_loss_metric=0.18668623, full_loss_num=11365.72167969, mean_dist=2.19582009, lr=0.000100, hard or full='full'
iter 8900:, hard_loss_metric=0.39151570, full_loss_metric=0.18712956, full_loss_num=11564.67285156, mean_dist=2.21051145, lr=0.000100, hard or full='full'
0:04:18.226769
iter 9000:, hard_loss_metric=0.38128728, full_loss_metric=0.18758881, full_loss_num=10723.27832031, mean_dist=2.24370933, lr=0.000100, hard or full='full'
iter 9100:, hard_loss_metric=0.38254011, full_loss_metric=0.18789452, full_loss_num=10851.12988281, mean_dist=2.25639105, lr=0.000100, hard or full='full'
iter 9200:, hard_loss_metric=0.38144267, full_loss_metric=0.18689883, full_loss_num=10809.23828125, mean_dist=2.24903679, lr=0.000100, hard or full='full'
iter 9300:, hard_loss_metric=0.38282558, full_loss_metric=0.18738569, full_loss_num=10718.29394531, mean_dist=2.24982738, lr=0.000100, hard or full='full'
iter 9400:, hard_loss_metric=0.37801987, full_loss_metric=0.18505855, full_loss_num=10754.04492188, mean_dist=2.24077559, lr=0.000100, hard or full='full'
iter 9500:, hard_loss_metric=0.38672519, full_loss_metric=0.18925081, full_loss_num=11008.20703125, mean_dist=2.26484060, lr=0.000100, hard or full='full'
iter 9600:, hard_loss_metric=0.38240919, full_loss_metric=0.18617645, full_loss_num=10638.48144531, mean_dist=2.25623417, lr=0.000100, hard or full='full'
iter 9700:, hard_loss_metric=0.37367395, full_loss_metric=0.18761431, full_loss_num=10394.60156250, mean_dist=2.27245855, lr=0.000100, hard or full='full'
iter 9800:, hard_loss_metric=0.37648928, full_loss_metric=0.18675891, full_loss_num=10194.45605469, mean_dist=2.29608154, lr=0.000100, hard or full='full'
iter 9900:, hard_loss_metric=0.37871820, full_loss_metric=0.18801941, full_loss_num=10365.47460938, mean_dist=2.30225110, lr=0.000100, hard or full='full'
0:04:17.879890
iter 10000:, hard_loss_metric=0.38014844, full_loss_metric=0.18924761, full_loss_num=10371.51660156, mean_dist=2.30510354, lr=0.000100, hard or full='full'
iter 10100:, hard_loss_metric=0.37732714, full_loss_metric=0.18823265, full_loss_num=10349.40722656, mean_dist=2.29986596, lr=0.000100, hard or full='full'
iter 10200:, hard_loss_metric=0.37617558, full_loss_metric=0.18682903, full_loss_num=10281.53222656, mean_dist=2.30430293, lr=0.000100, hard or full='full'
iter 10300:, hard_loss_metric=0.36926007, full_loss_metric=0.18730225, full_loss_num=9833.04785156, mean_dist=2.32653284, lr=0.000100, hard or full='full'
iter 10400:, hard_loss_metric=0.37534699, full_loss_metric=0.18895851, full_loss_num=10288.70898438, mean_dist=2.31416893, lr=0.000100, hard or full='full'
iter 10500:, hard_loss_metric=0.37035421, full_loss_metric=0.18609297, full_loss_num=10282.04492188, mean_dist=2.31532836, lr=0.000100, hard or full='full'
iter 10600:, hard_loss_metric=0.37504479, full_loss_metric=0.18745567, full_loss_num=10262.57910156, mean_dist=2.30541086, lr=0.000100, hard or full='full'
iter 10700:, hard_loss_metric=0.37311539, full_loss_metric=0.18639614, full_loss_num=10138.12109375, mean_dist=2.30932760, lr=0.000100, hard or full='full'
iter 10800:, hard_loss_metric=0.37179720, full_loss_metric=0.18844339, full_loss_num=9686.91601562, mean_dist=2.36335850, lr=0.000100, hard or full='full'
iter 10900:, hard_loss_metric=0.37651727, full_loss_metric=0.18854877, full_loss_num=10135.05468750, mean_dist=2.35346031, lr=0.000100, hard or full='full'
0:04:20.530139
iter 11000:, hard_loss_metric=0.35862294, full_loss_metric=0.18571296, full_loss_num=9431.33789062, mean_dist=2.36774635, lr=0.000100, hard or full='full'
